,short_name,league_name,player_positions,overall
477,Bartra,Spain Primera Division,"CB, CDM",80
11029,Belman,Spain Primera Division,GK,64
3643,Bigas,Spain Primera Division,"CB, LB",72
10845,Borja Garcés,Spain Primera Division,ST,64
1907,Borja García,Spain Primera Division,"CAM, LM, CM",75
590,Borja Iglesias,Spain Primera Division,ST,79
1219,Borja Mayoral,Spain Primera Division,ST,76
9622,Borja Sainz,Spain Primera Division,"RM, CAM",65
1535,Brais Méndez,Spain Primera Division,"RM, LM",75
5639,Brandon Thomas,Spain Primera Division,"ST, LM, CAM",69
2380,Bruno,Spain Primera Division,CB,74
13394,Bruno Morais,Spain Primera Division,CB,62
9572,Bryan Gil,Spain Primera Division,"LW, LM",65
2723,Burgui,Spain Primera Division,LM,73
1137,C. Bacca,Spain Primera Division,ST,77
1038,C. Bravo,Spain Primera Division,GK,77
3350,C. Doukouré,Spain Primera Division,"CDM, CM",72
69,C. Lenglet,Spain Primera Division,CB,85
1683,Camarasa,Spain Primera Division,"CM, CAM, RM",75
416,Campaña,Spain Primera Division,"CM, LM, CDM",80
253,Canales,Spain Primera Division,"CM, LM, RM",82
356,Capa,Spain Primera Division,RB,81
9730,Carbonell,Spain Primera Division,"CM, CDM",65
1199,Carlos Fernández,Spain Primera Division,"ST, CAM",76
15517,Carlos Kevin,Spain Primera Division,ST,59
15118,Carlos Marín,Spain Primera Division,GK,60
1254,Carlos Neva,Spain Primera Division,LB,76
535,Carlos Soler,Spain Primera Division,"RM, LM, CM",79
13956,Carreira,Spain Primera Division,RB,61
60,Carvajal,Spain Primera Division,RB,86
17,Casemiro,Spain Primera Division,CDM,89
3335,Chema Rodríguez,Spain Primera Division,"CB, LB",72
8646,Chris Ramos,Spain Primera Division,ST,66
2748,Cifuentes,Spain Primera Division,GK,73
11505,Claudio Medina,Spain Primera Division,ST,64
1452,Clerc,Spain Primera Division,LB,76
1814,Coke,Spain Primera Division,"RB, CB",75
633,Cote,Spain Primera Division,LB,79
189,Coutinho,Spain Primera Division,"CAM, LW, CM",83
7461,Cristian Rivero,Spain Primera Division,GK,67
845,Cristian Tello,Spain Primera Division,"LM, RM",78
15809,Cubero,Spain Primera Division,"RB, CB",59
275,Cucurella,Spain Primera Division,"LM, LB",81
15531,César Moreno,Spain Primera Division,"CM, CDM",59
929,Córdoba,Spain Primera Division,LW,77
1493,D. Brašanac,Spain Primera Division,"CM, CDM, RM",76
1132,D. Cheryshev,Spain Primera Division,LM,77
237,D. Djené,Spain Primera Division,CB,82
1941,D. Foulquier,Spain Primera Division,"RM, RB",75
8549,D. Jovanović,Spain Primera Division,ST,66
2422,D. Kądzior,Spain Primera Division,"RM, RW",74
3078,D. Lainez,Spain Primera Division,"RM, CM, CAM",72
866,D. Machís,Spain Primera Division,"LM, ST",78
1958,D. Siovas,Spain Primera Division,CB,75
482,D. Suárez,Spain Primera Division,RB,80
442,D. Wass,Spain Primera Division,"RB, RM, CM",80
3987,Dani Calvo,Spain Primera Division,CB,71
12111,Dani Cárdenas,Spain Primera Division,GK,63
8644,Dani Escriche,Spain Primera Division,"ST, CAM",66
665,Dani García,Spain Primera Division,"CM, CDM",79
4597,Dani Gómez,Spain Primera Division,ST,70
4573,Dani Martín,Spain Primera Division,GK,70
2585,Dani Raba,Spain Primera Division,RM,73
7722,Dani Romera,Spain Primera Division,ST,67
13099,Dani Sandoval,Spain Primera Division,"LM, RM",62
10037,Dani Sotres,Spain Primera Division,GK,65
11960,Daniel Rebollo,Spain Primera Division,GK,63
13248,Darío Poveda,Spain Primera Division,ST,62
10844,David Alba,Spain Primera Division,CB,64
3954,David Costas,Spain Primera Division,"CB, RB",71
3636,David Ferreiro,Spain Primera Division,"LM, RM",72
1259,David García,Spain Primera Division,CB,76
8881,David Gil,Spain Primera Division,GK,66
3264,David Juncà,Spain Primera Division,"LB, LWB",72
53,David Silva,Spain Primera Division,"CAM, CM",86
231,David Soria,Spain Primera Division,GK,82
4598,De Frutos,Spain Primera Division,"LM, RM, ST",70
819,De Marcos,Spain Primera Division,"RB, RW",78
10778,De la Fuente,Spain Primera Division,CB,64
769,Denis Suárez,Spain Primera Division,"LW, LM, CM",78
2428,Deyverson,Spain Primera Division,ST,74
16155,Diego Bri,Spain Primera Division,"LW, RW",58
163,Diego Carlos,Spain Primera Division,CB,83
449,Diego Costa,Spain Primera Division,ST,80
1278,Diego Llorente,Spain Primera Division,CB,76
13930,Diego Pampín,Spain Primera Division,"LB, LM",61
740,Domingos Duarte,Spain Primera Division,CB,78
563,E. Bardhi,Spain Primera Division,"LM, CM",79
4872,E. Burgos,Spain Primera Division,CB,70
2139,E. Cabaco,Spain Primera Division,CB,74
25,E. Hazard,Spain Primera Division,"LW, ST",88
2216,E. Mangala,Spain Primera Division,CB,74
3163,E. Mor,Spain Primera Division,"RM, ST",72
561,E. Ávila,Spain Primera Division,"ST, RM",79
1589,E. Ünal,Spain Primera Division,ST,75
13202,Echu,Spain Primera Division,"LW, CAM",62
2643,Edgar Badía,Spain Primera Division,GK,73
2989,Edgar Méndez,Spain Primera Division,"RM, RW, LM",73
1204,Edu Expósito,Spain Primera Division,"CM, CDM, CAM",76
4891,Edu Ramos,Spain Primera Division,"CDM, CM",70
15719,Ekhi Bravo,Spain Primera Division,CAM,59
686,Emerson,Spain Primera Division,"RB, RM, RWB",78
12295,Endika,Spain Primera Division,LB,63
3053,Enric Gallego,Spain Primera Division,ST,73
468,Escudero,Spain Primera Division,"LB, LM",80
10923,Esquerdo,Spain Primera Division,"CAM, CM",64
2337,Etxeita,Spain Primera Division,CB,74
4024,Eugeni,Spain Primera Division,"CM, CAM, LM",71
9787,Ezkieta,Spain Primera Division,GK,65
15696,Eñaut Mendia,Spain Primera Division,ST,59
458,F. Coquelin,Spain Primera Division,"CM, CDM",80
12951,F. Jörgensen,Spain Primera Division,GK,62
996,F. Lejeune,Spain Primera Division,CB,77
6161,F. Malbašić,Spain Primera Division,"ST, RM, LM",69
4690,F. Manojlović,Spain Primera Division,GK,70
148,F. Mendy,Spain Primera Division,LB,83
637,F. Orellana,Spain Primera Division,"RM, LM, CAM",79
15807,F. Poulolo,Spain Primera Division,"CM, CDM",59
2828,F. Roncaglia,Spain Primera Division,"CB, RB",73
140,F. Valverde,Spain Primera Division,CM,83
1135,F. Vázquez,Spain Primera Division,"CM, CAM, LM",77
67,F. de Jong,Spain Primera Division,CM,85
4053,Fali,Spain Primera Division,"CB, CDM",71
2570,Fede,Spain Primera Division,"CDM, CM",73
2168,Fede Vico,Spain Primera Division,"CAM, RM, LM",74
138,Felipe,Spain Primera Division,CB,84
9593,Fer Niño,Spain Primera Division,ST,65
183,Fernando,Spain Primera Division,"CDM, CM",83
3509,Fidel,Spain Primera Division,"LM, RM, CM",72
1548,Fran Beltrán,Spain Primera Division,"CM, CDM, CAM",75
8596,Fran Manzanara,Spain Primera Division,"CB, CDM, RB",66
12191,Fran Navarro,Spain Primera Division,ST,63
3207,Francis,Spain Primera Division,"RM, RWB, RB",72
576,G. Kondogbia,Spain Primera Division,"CM, CDM",79
1307,G. Rodríguez,Spain Primera Division,"CDM, CM",76
225,G. Rulli,Spain Primera Division,GK,82
1686,G. Silva,Spain Primera Division,"LB, CB",75
233,Gabriel Paulista,Spain Primera Division,CB,82
4484,Garrido,Spain Primera Division,"CDM, CM",71
143,Gayà,Spain Primera Division,LB,83
15005,Genaro,Spain Primera Division,"CM, CB",60
14806,Gerard Barri,Spain Primera Division,RB,60
205,Gerard Moreno,Spain Primera Division,"ST, RM, CF",83
1115,Germán,Spain Primera Division,CB,77
8396,Gonzalo Verdú,Spain Primera Division,CB,67
279,Gonçalo Guedes,Spain Primera Division,"LM, ST",81
3935,Gorosabel,Spain Primera Division,RB,71
5414,Guillamón,Spain Primera Division,"CB, CDM",69
16141,Guille Amor,Spain Primera Division,CM,58
7434,Guillem Molina,Spain Primera Division,"CB, RB",67
5675,Guridi,Spain Primera Division,CM,69
5404,Gustavo Maia,Spain Primera Division,"LW, RW, CF",69
5419,H. Abe,Spain Primera Division,"LW, LM",69
319,H. Herrera,Spain Primera Division,CM,81
1463,Hernâni,Spain Primera Division,"RM, LM",76
827,Herrerín,Spain Primera Division,GK,78
2930,Hervías,Spain Primera Division,"RM, LM",73
6391,Hugo Duro,Spain Primera Division,"ST, LM",68
833,Hugo Mallo,Spain Primera Division,RB,78
6378,Hugo Vallejo,Spain Primera Division,"LM, RM, ST",68
1276,I. Amadou,Spain Primera Division,"CDM, CB",76
5544,I. Grbić,Spain Primera Division,GK,69
241,I. Rakitić,Spain Primera Division,CM,82
6492,I. Šaponjić,Spain Primera Division,ST,68
129,Iago Aspas,Spain Primera Division,"ST, RW",84
15494,Iago Domínguez,Spain Primera Division,GK,59
645,Ibai Gómez,Spain Primera Division,"RW, LW",79
630,Iborra,Spain Primera Division,"CDM, CM",79
6379,Iker Losada,Spain Primera Division,"ST, CF",68
464,Illarramendi,Spain Primera Division,"CDM, CM",80
4022,Insua,Spain Primera Division,CB,71
133,Isco,Spain Primera Division,"CAM, CM, LW",84
14325,Isi Gómez,Spain Primera Division,"CM, CAM",61
10855,Ismael,Spain Primera Division,"CM, CDM",64
2191,Iván Alejo,Spain Primera Division,"RM, LM",74
14695,Iván Martínez,Spain Primera Division,GK,60
6526,Iván Villar,Spain Primera Division,GK,68
4144,Iza Carcelén,Spain Primera Division,"RB, RM",71
303,Iñaki Williams,Spain Primera Division,"ST, RW",81
12145,Iñaki Álvarez,Spain Primera Division,GK,63
423,Iñigo Martínez,Spain Primera Division,CB,80
2362,Iñigo Pérez,Spain Primera Division,"CDM, CM, LB",74
4628,Iñigo Vicente,Spain Primera Division,"LW, CAM",70
2116,J. Aidoo,Spain Primera Division,CB,74
15078,J. Brunet,Spain Primera Division,"CDM, CB",60
2240,J. Calleri,Spain Primera Division,ST,74
343,J. Cillessen,Spain Primera Division,GK,81
5518,J. Fuchs,Spain Primera Division,"CM, CDM",69
14745,J. García,Spain Primera Division,GK,60
109,J. Giménez,Spain Primera Division,CB,84
1265,J. Gnagnon,Spain Primera Division,CB,76
2375,J. Guidetti,Spain Primera Division,ST,74
4728,J. Harper,Spain Primera Division,"ST, CAM, RM",70
2099,J. Hernández,Spain Primera Division,"ST, RM, CAM",74
16195,J. Holsgrove,Spain Primera Division,"CM, RM, LM",58
5191,J. Jønsson,Spain Primera Division,"CDM, CM",70
517,J. Koundé,Spain Primera Division,CB,79
2181,J. Ledesma,Spain Primera Division,GK,74
2671,J. Lucumi,Spain Primera Division,"LM, RM",73
982,J. Murillo,Spain Primera Division,CB,77
2,J. Oblak,Spain Primera Division,GK,91
14718,J. Peñaloza,Spain Primera Division,"LM, CAM, ST",60
8568,J. Rhyner,Spain Primera Division,CB,66
9580,J. Sanabria,Spain Primera Division,"RM, LM, CM",65
1936,J. Sánchez Miño,Spain Primera Division,"LB, CM",75
1510,J. Todibo,Spain Primera Division,CB,75
4600,J. Toro,Spain Primera Division,"LM, ST, CAM",70
9765,Jaime Seoane,Spain Primera Division,CM,65
1332,Jason,Spain Primera Division,RM,76
1019,Jaume,Spain Primera Division,GK,77
639,Jaume Costa,Spain Primera Division,LB,79
9688,Javi Díaz,Spain Primera Division,GK,65
3230,Javi Galán,Spain Primera Division,"LB, LM",72
6374,Javi Hernández,Spain Primera Division,"CB, LWB",68
16237,Javi López,Spain Primera Division,"CM, CDM",58
14007,Javi López,Spain Primera Division,LB,61
13961,Javi Martínez,Spain Primera Division,"ST, RM, LM",61
4192,Javi Moyano,Spain Primera Division,"RB, LB",71
4601,Javi Sánchez,Spain Primera Division,CB,70
14023,Javi Vázquez,Spain Primera Division,"LWB, LB",61
9690,Jesús Areso,Spain Primera Division,RB,65
121,Jesús Navas,Spain Primera Division,"RB, RM",84
559,Joan Jordán,Spain Primera Division,"CM, CDM, CAM",79
13146,Joan Monterde,Spain Primera Division,"CAM, RM",62
2094,Joaquín,Spain Primera Division,"CB, CDM, CM",74
8501,Joaquín,Spain Primera Division,RW,66
430,Joaquín,Spain Primera Division,"LM, RM",80
1427,Joel Robles,Spain Primera Division,GK,76
4730,Jon Bautista,Spain Primera Division,"ST, CAM",70
7480,Jon Morcillo,Spain Primera Division,LW,67
878,Jony,Spain Primera Division,LM,78
15503,Jony Álamo,Spain Primera Division,CDM,59
57,Jordi Alba,Spain Primera Division,LB,86
10779,Jordi Escobar,Spain Primera Division,"ST, LM",64
342,Jordi Masip,Spain Primera Division,GK,81
10832,Jorge Cuenca,Spain Primera Division,CB,64
1482,Jorge Miramón,Spain Primera Division,"RB, RWB",76
790,Jorge Molina,Spain Primera Division,ST,78
5763,Jorge Pombo,Spain Primera Division,"ST, LM, CAM",69
4563,Jorge Sáenz,Spain Primera Division,CB,70
5321,Josan,Spain Primera Division,"RM, LM, CM",70
1364,Joselu,Spain Primera Division,ST,76
8705,Josema,Spain Primera Division,"CB, LB",66
15090,José Fontán,Spain Primera Division,"LB, CB",60
5228,José Mari,Spain Primera Division,"CDM, CM",70
272,João Félix,Spain Primera Division,"CF, ST",81
3494,Juan Cala,Spain Primera Division,CB,72
2929,Juan Carlos,Spain Primera Division,"CM, CAM, ST",73
6141,Juan Cruz,Spain Primera Division,"LB, LWB",69
13297,Juan Pérez,Spain Primera Division,GK,62
4651,Juan Soriano,Spain Primera Division,GK,70
1916,Juanmi,Spain Primera Division,"LW, ST, LM",75
14075,Julen Lobete,Spain Primera Division,ST,61
13206,Julio Alonso,Spain Primera Division,"LB, RB",62
14149,Julio Gracia,Spain Primera Division,CM,61
524,Junior Firpo,Spain Primera Division,"LB, LM",79
4980,Jurado,Spain Primera Division,"CAM, RM, LM",70
15,K. Benzema,Spain Primera Division,"CF, ST",89
605,K. Gameiro,Spain Primera Division,ST,79
6866,K. Kodro,Spain Primera Division,"ST, CAM",68
11900,K. Koindredi,Spain Primera Division,CM,63
12058,K. Nwakali,Spain Primera Division,CM,63
8505,K. Soni,Spain Primera Division,"CAM, ST, LM",66
184,K. Trippier,Spain Primera Division,RB,83
2062,Kangin Lee,Spain Primera Division,"CAM, ST, LM",74
1283,Kenedy,Spain Primera Division,LM,76
3400,Kevin,Spain Primera Division,RB,72
5594,Kike Barja,Spain Primera Division,"LM, RM",69
1095,Kike García,Spain Primera Division,ST,77
8708,Kike Pérez,Spain Primera Division,"CM, CDM",66
1857,Kiko Olivas,Spain Primera Division,CB,75
96,Koke,Spain Primera Division,"CM, RM, LM",85
4619,Koke Vegas,Spain Primera Division,GK,70
9720,Kuki Zalazar,Spain Primera Division,"CAM, RM, ST",65
2228,Kévin Rodrigues,Spain Primera Division,"LM, LB",74
5651,L. Boyé,Spain Primera Division,"LW, ST, CAM",69
1413,L. Chichizola,Spain Primera Division,GK,76
389,L. Jović,Spain Primera Division,ST,80
0,L. Messi,Spain Primera Division,"RW, ST, CF",93
38,L. Modrić,Spain Primera Division,CM,87
235,L. Ocampos,Spain Primera Division,"RW, LW",82
977,L. Olaza,Spain Primera Division,LB,77
4525,L. Reis,Spain Primera Division,"CM, CDM",70
37,L. Suárez,Spain Primera Division,ST,87
462,L. de Jong,Spain Primera Division,ST,80
832,Laguardia,Spain Primera Division,CB,78
4631,Larrazabal,Spain Primera Division,RW,70
2246,Lekue,Spain Primera Division,"RB, RW, LB",74
17421,Lluis Andreu,Spain Primera Division,GK,56
750,Loren,Spain Primera Division,ST,78
3241,Luca Sangalli,Spain Primera Division,"CM, CAM, RM",72
8546,Lucas,Spain Primera Division,CB,66
644,Lucas Pérez,Spain Primera Division,ST,79
2617,Lucas Torró,Spain Primera Division,"CDM, CM",73
485,Lucas Vázquez,Spain Primera Division,RW,80
15608,Luis Castillo,Spain Primera Division,GK,59
1252,Luis Milla,Spain Primera Division,CDM,76
3257,Luis Pérez,Spain Primera Division,RB,72
2243,Luis Rioja,Spain Primera Division,LM,74
2812,Luisinho,Spain Primera Division,LB,73
4934,Luismi,Spain Primera Division,"CDM, CM",70
3581,Luna,Spain Primera Division,"LB, LM",72
210,M. Acuña,Spain Primera Division,"LB, LM",83
391,M. Arambarri,Spain Primera Division,"CDM, CM",80
1421,M. Braithwaite,Spain Primera Division,"ST, LM",76
3227,M. Diakhaby,Spain Primera Division,CB,72
314,M. Dmitrović,Spain Primera Division,GK,81
15840,M. El Ghezouani,Spain Primera Division,ST,59
5470,M. El Hacen,Spain Primera Division,"CM, CDM",69
1419,M. Gonalons,Spain Primera Division,"CDM, CM",76
393,M. Gómez,Spain Primera Division,ST,80
4669,M. Malsa,Spain Primera Division,"CM, CDM",70
917,M. Olivera,Spain Primera Division,"LB, LM",77
84,M. Pjanić,Spain Primera Division,"CM, CDM",85
5445,M. Sagnan,Spain Primera Division,CB,69
12183,M. Villa,Spain Primera Division,"RB, CB, LB",63
7,M. ter Stegen,Spain Primera Division,GK,90
141,M. Ødegaard,Spain Primera Division,"CAM, CM, RM",83
1813,Manu García,Spain Primera Division,"CM, CDM",75
13542,Manu Justo,Spain Primera Division,"RM, RW, ST",62
13348,Manu Molina,Spain Primera Division,RM,62
4543,Manu Sánchez,Spain Primera Division,LB,70
860,Manu Trigueros,Spain Primera Division,"CM, CDM",78
2103,Manu Vallejo,Spain Primera Division,"ST, CAM, LM",74
14265,Marc Baró,Spain Primera Division,LB,61
2140,Marc Cardona,Spain Primera Division,ST,74
177,Marcelo,Spain Primera Division,LB,83
220,Marco Asensio,Spain Primera Division,"LW, RW",82
5542,Marcos André,Spain Primera Division,ST,69
227,Marcos Llorente,Spain Primera Division,"CM, CF, RM",82
5888,Marcos Mauro,Spain Primera Division,CB,69
1020,Mariano,Spain Primera Division,ST,77
469,Mario Gaspar,Spain Primera Division,RB,80
411,Mario Hermoso,Spain Primera Division,CB,80
1626,Martín,Spain Primera Division,"RB, RM",75
5778,Martínez,Spain Primera Division,CB,69
6397,Marvin,Spain Primera Division,RW,68
670,Mata,Spain Primera Division,ST,79
6458,Matheus Fernandes,Spain Primera Division,CM,68
4610,Matheus Pereira,Spain Primera Division,"CAM, RM",70
1697,Melero,Spain Primera Division,"CM, CDM, CAM",75
375,Merino,Spain Primera Division,CM,80
1694,Merquelanz,Spain Primera Division,"LW, RW, CAM",75
13927,Miguel,Spain Primera Division,RW,61
7349,Miguel,Spain Primera Division,ST,67
12206,Miguel Baeza,Spain Primera Division,"CAM, LW, RW",63
2755,Mikel Rico,Spain Primera Division,"CM, CDM",73
11149,Mingotes,Spain Primera Division,"RB, CB",64
4556,Miranda,Spain Primera Division,"LB, LWB",70
1008,Moi Gómez,Spain Primera Division,"LM, CM",77
16473,Molina,Spain Primera Division,ST,58
5424,Mollejo,Spain Primera Division,"LM, RM",69
2520,Moncayola,Spain Primera Division,"CDM, CM, RB",73
1065,Montoro,Spain Primera Division,CDM,77
1102,Montoya,Spain Primera Division,"RB, RWB",77
666,Morales,Spain Primera Division,"ST, LM, RM",79
232,Morata,Spain Primera Division,ST,82
2297,Mosquera,Spain Primera Division,CDM,74
783,Moyá,Spain Primera Division,GK,78
190,Muniain,Spain Primera Division,"LW, CAM, RW",83
529,Munir,Spain Primera Division,"ST, RW, LW",79
2857,Míchel,Spain Primera Division,"CM, CDM",73
1728,N. Araújo,Spain Primera Division,CB,75
12993,N. Djouahra,Spain Primera Division,LW,62
167,N. Fekir,Spain Primera Division,"CAM, RM, ST",83
571,N. Gudelj,Spain Primera Division,"CDM, CM",79
1060,N. Kalinić,Spain Primera Division,ST,77
8894,N. Lozano,Spain Primera Division,CB,66
537,N. Maksimović,Spain Primera Division,"CDM, CM",79
1522,N. Pérez,Spain Primera Division,CB,75
1758,N. Radoja,Spain Primera Division,CM,75
1994,N. Vukčević,Spain Primera Division,"CM, CDM",75
870,Nacho,Spain Primera Division,"LB, LWB",78
14209,Nacho,Spain Primera Division,ST,61
479,Nacho Fernández,Spain Primera Division,"CB, LB, RB",80
445,Nacho Monreal,Spain Primera Division,LB,80
16655,Nacho Pastor,Spain Primera Division,CB,57
1291,Nacho Vidal,Spain Primera Division,"RB, RWB",76
5650,Nano Mesa,Spain Primera Division,"ST, LM",69
1346,Negredo,Spain Primera Division,ST,76
257,Neto,Spain Primera Division,GK,82
10826,Nico Williams,Spain Primera Division,"LW, RW, ST",64
4967,Nino,Spain Primera Division,"ST, CF, CAM",70
6411,Nolaskoain,Spain Primera Division,"CM, CB, CDM",68
1434,Nolito,Spain Primera Division,"LW, LM",76
7942,Nuha,Spain Primera Division,ST,67
159,Nélson Semedo,Spain Primera Division,RB,83
142,O. Dembélé,Spain Primera Division,"LW, RW",83
3670,O. Duarte,Spain Primera Division,CB,72
10202,O. Mfulu,Spain Primera Division,"CM, CDM, RB",65
16837,O. Nowak,Spain Primera Division,"LB, RB",57
935,O. Yokuşlu,Spain Primera Division,"CDM, CM",77
562,Odriozola,Spain Primera Division,RB,79
1084,Oier,Spain Primera Division,"CDM, CM",77
8711,Olabe,Spain Primera Division,"CM, RM, CDM",66
1571,Ontiveros,Spain Primera Division,"LM, LW, RM",75
101,Oyarzabal,Spain Primera Division,"LW, RW",84
11079,P. Akouokou,Spain Primera Division,"CM, CDM",64
808,P. Diop,Spain Primera Division,"CDM, CM",78
515,P. Estupiñán,Spain Primera Division,LB,79
10790,Pablo Gozálbez,Spain Primera Division,"CAM, CF",64
2087,Pablo Maffeo,Spain Primera Division,"RB, RWB",74
13140,Pablo Martínez,Spain Primera Division,"CM, CAM",62
230,Pacheco,Spain Primera Division,GK,82
309,Paco Alcácer,Spain Primera Division,ST,81
93,Parejo,Spain Primera Division,CM,85
696,Pau Torres,Spain Primera Division,CB,78
12194,Paulino,Spain Primera Division,"RM, CAM",63
1327,Paulo Oliveira,Spain Primera Division,CB,76
1612,Pedraza,Spain Primera Division,"LB, LM",75
3059,Pedri,Spain Primera Division,"LM, CAM",72
603,Pedro León,Spain Primera Division,"RM, LM",79
3435,Pedro López,Spain Primera Division,RB,72
12113,Pepe Mena,Spain Primera Division,"CDM, CM, CAM",63
14794,Pepe Sánchez,Spain Primera Division,"CB, CDM",60
3725,Pere Milla,Spain Primera Division,"ST, CAM, LM",72
1747,Pere Pons,Spain Primera Division,"CM, CDM",75
52,Piqué,Spain Primera Division,CB,86
1901,Portillo,Spain Primera Division,"RM, LM",75
202,Portu,Spain Primera Division,"RW, RM, CF",83
1975,Postigo,Spain Primera Division,CB,75
1147,Puertas,Spain Primera Division,"RM, LM",77
1737,Pulido,Spain Primera Division,CB,75
9447,Querol,Spain Primera Division,"RM, ST, LM",66
3654,Quini,Spain Primera Division,"LB, RB",72
2332,Quique,Spain Primera Division,"ST, LM, RM",74
7344,R. Araujo,Spain Primera Division,CB,67
1669,R. Azeez,Spain Primera Division,"CDM, CM, CAM",75
1989,R. Battaglia,Spain Primera Division,"CM, CDM",75
1734,R. Funes Mori,Spain Primera Division,CB,75
8597,R. Guerra,Spain Primera Division,CDM,66
1573,R. Le Normand,Spain Primera Division,CB,75
5481,R. Manaj,Spain Primera Division,ST,69
2600,R. Tapia,Spain Primera Division,"CDM, CM",73
48,R. Varane,Spain Primera Division,CB,86
4646,Rafa Mir,Spain Primera Division,"ST, LM, RM",70
4821,Rafa Navarro,Spain Primera Division,"RB, RWB",70
2599,Rafa Soares,Spain Primera Division,LB,73
575,Rafinha,Spain Primera Division,"CM, CAM, RM",79
7265,Ramón Folch,Spain Primera Division,"CM, CDM",68
240,Raúl Albiol,Spain Primera Division,CB,82
2890,Raúl Carnero,Spain Primera Division,"LB, LM",73
10766,Raúl García,Spain Primera Division,ST,64
441,Raúl García,Spain Primera Division,"ST, CAM, RW",80
4606,Raúl Guti,Spain Primera Division,CM,70
2895,Raúl Navas,Spain Primera Division,CB,73
2385,Recio,Spain Primera Division,"CM, CDM",74
16434,Relu,Spain Primera Division,CDM,58
282,Renan Lodi,Spain Primera Division,LB,81
9676,Ricard,Spain Primera Division,"RB, RM",65
8436,Riquelme,Spain Primera Division,"RM, LM",66
1499,Riqui Puig,Spain Primera Division,"CM, CAM",75
4917,Rober Correa,Spain Primera Division,RB,70
1843,Roberto,Spain Primera Division,GK,75
10780,Roberto López,Spain Primera Division,"CAM, CM",64
1134,Roberto Torres,Spain Primera Division,"RM, CM",77
1070,Rochina,Spain Primera Division,"RM, CM, CAM",77
1628,Rodrigo Ely,Spain Primera Division,CB,75
504,Rodrygo,Spain Primera Division,"RW, LW",79
1138,Roger,Spain Primera Division,ST,77
1126,Roque Mesa,Spain Primera Division,"CM, CDM",77
2261,Rubén,Spain Primera Division,GK,74
881,Rubén Alcaraz,Spain Primera Division,"CM, CDM",78
1213,Rubén Blanco,Spain Primera Division,GK,76
