,short_name,league_name,player_positions,overall
969,André Silva,Spain Primera Division,ST,77
1434,Andrés Fernández,Spain Primera Division,GK,76
11400,Antonio Domínguez,Spain Primera Division,"LM, RM",64
4463,Antoñito,Spain Primera Division,RB,71
513,Antunes,Spain Primera Division,LB,80
4832,Anuar,Spain Primera Division,"CDM, CAM, CM",70
2642,Arana,Spain Primera Division,"LB, LM",73
929,Arbilla,Spain Primera Division,"CB, RB, LB",78
1763,Aritz,Spain Primera Division,"CB, RB",75
215,Arthur,Spain Primera Division,"CM, CDM",82
8876,Arturo Molina,Spain Primera Division,"CAM, CM, RM",66
1172,B. Espinosa,Spain Primera Division,CB,77
2004,Balenziaga,Spain Primera Division,LB,75
1119,Barragán,Spain Primera Division,"RB, RWB",77
258,Bartra,Spain Primera Division,"CB, RB",82
1918,Bebé,Spain Primera Division,"LM, RM",75
8698,Berrocal,Spain Primera Division,CB,66
508,Beñat,Spain Primera Division,CM,80
1857,Bigas,Spain Primera Division,CB,75
1739,Borja Bastón,Spain Primera Division,"ST, CAM",75
4316,Borja Fernández,Spain Primera Division,CDM,71
691,Borja García,Spain Primera Division,"LM, CM",79
1314,Borja Iglesias,Spain Primera Division,ST,76
4052,Borja Lasso,Spain Primera Division,"CAM, LM, CM",71
1641,Borja Mayoral,Spain Primera Division,ST,75
2632,Brais Méndez,Spain Primera Division,"RW, RM, CM, CAM",73
387,Bruno,Spain Primera Division,"CM, CDM",81
1064,Bruno,Spain Primera Division,CB,77
1719,Burgui,Spain Primera Division,"LM, CAM, RM",75
1801,Bustinza,Spain Primera Division,"CB, RB",75
313,C. Bacca,Spain Primera Division,ST,82
1960,C. Beauvue,Spain Primera Division,ST,75
2171,C. Doukouré,Spain Primera Division,"CDM, CM",74
5043,C. Ganea,Spain Primera Division,"LB, LM",70
219,C. Lenglet,Spain Primera Division,CB,82
778,C. Piccini,Spain Primera Division,RB,78
518,C. Stuani,Spain Primera Division,"ST, RM",80
5785,Calero,Spain Primera Division,CB,69
7105,Camacho,Spain Primera Division,CAM,68
586,Campaña,Spain Primera Division,"CM, CDM, CAM",79
680,Canales,Spain Primera Division,"CAM, CM, RM, RW",79
786,Capa,Spain Primera Division,RB,78
1846,Carles Planas,Spain Primera Division,LB,75
8875,Carlos Blanco,Spain Primera Division,CB,66
5643,Carlos Fernández,Spain Primera Division,ST,69
10973,Carlos Isaac,Spain Primera Division,RB,64
412,Carlos Soler,Spain Primera Division,"RM, CM, CAM",80
121,Carvajal,Spain Primera Division,RB,84
28,Casemiro,Spain Primera Division,CDM,88
642,Charles,Spain Primera Division,ST,79
2277,Chema Rodríguez,Spain Primera Division,CB,74
6629,Chris Ramos,Spain Primera Division,ST,68
876,Coke,Spain Primera Division,"RB, RM",78
1192,Cote,Spain Primera Division,LB,77
4794,Cotán,Spain Primera Division,"CDM, CAM, CM",70
29,Coutinho,Spain Primera Division,"LW, RW, CM",88
7589,Cristian Rivero,Spain Primera Division,GK,67
536,Cristian Tello,Spain Primera Division,"LM, RM",80
9778,Cristo González,Spain Primera Division,"ST, LM, CAM",65
5665,Cucurella,Spain Primera Division,LB,69
7794,Curro Sánchez,Spain Primera Division,"LM, RM, CAM, ST",67
1642,Córdoba,Spain Primera Division,LW,75
1421,D. Bonera,Spain Primera Division,CB,76
2812,D. Brasanac,Spain Primera Division,"CM, RM",73
1219,D. Cheryshev,Spain Primera Division,"LM, LW, ST",77
1074,D. Djené,Spain Primera Division,"CB, RB",77
10917,D. Eckert,Spain Primera Division,ST,64
12,D. Godín,Spain Primera Division,CB,90
2555,D. Musto,Spain Primera Division,"CDM, CM",74
1795,D. Rolán,Spain Primera Division,"ST, LM, RM",75
3812,D. Siovas,Spain Primera Division,CB,72
1215,D. Suárez,Spain Primera Division,RB,77
1223,D. Torres,Spain Primera Division,"CDM, CM",77
3210,D. Verde,Spain Primera Division,"LW, LM, RM, RW",72
282,D. Wass,Spain Primera Division,"CM, RM, LM",82
1130,D. Zurutuza,Spain Primera Division,"CM, CDM",77
10108,Damià,Spain Primera Division,"CDM, CAM",65
711,Dani Ceballos,Spain Primera Division,"CM, LM, CDM, CAM",78
265,Dani García,Spain Primera Division,"CDM, CM",82
14509,Dani Merino,Spain Primera Division,GK,60
10937,Dani Molina,Spain Primera Division,"CDM, CAM",64
7798,Dani Ojeda,Spain Primera Division,LM,67
1669,Dani Raba,Spain Primera Division,"RM, CAM, CM, ST",75
910,Daniel Carriço,Spain Primera Division,"CB, CDM",78
14534,Daniel Rebollo,Spain Primera Division,GK,60
13956,Darío Poveda,Spain Primera Division,ST,61
12046,David Alba,Spain Primera Division,"CB, CDM",63
5648,David Concha,Spain Primera Division,"RW, LW, RM, CAM",69
4921,David Costas,Spain Primera Division,CB,70
2534,David Ferreiro,Spain Primera Division,"LM, RM",74
1300,David Juncà,Spain Primera Division,LB,76
697,David López,Spain Primera Division,CB,79
808,David Soria,Spain Primera Division,GK,78
678,De Marcos,Spain Primera Division,"RB, RW, RWB",79
1249,De Tomás,Spain Primera Division,ST,76
1928,De la Bella,Spain Primera Division,LB,75
555,Denis Suárez,Spain Primera Division,"CM, LW, RW",79
10998,Diego Alende,Spain Primera Division,CB,64
13927,Diego Barri,Spain Primera Division,"CDM, RB",61
103,Diego Costa,Spain Primera Division,ST,85
1288,Diego Llorente,Spain Primera Division,"CB, CDM",76
486,Diego López,Spain Primera Division,GK,80
4315,Dorado,Spain Primera Division,CB,71
3728,Dídac Vilà,Spain Primera Division,LB,72
8802,E. Apeh,Spain Primera Division,ST,66
198,E. Banega,Spain Primera Division,"CAM, CM, CDM",83
733,E. Bardhi,Spain Primera Division,"CM, CAM, LM",78
1295,E. Boateng,Spain Primera Division,ST,76
1691,E. Cabaco,Spain Primera Division,CB,75
280,E. Garay,Spain Primera Division,CB,82
10928,E. Lomotey,Spain Primera Division,"CDM, CB",64
2130,E. Mor,Spain Primera Division,"LW, RW, ST, CF",74
4142,E. Muñoz,Spain Primera Division,CB,71
5955,E. Saveljich,Spain Primera Division,CB,69
2188,E. Velázquez,Spain Primera Division,CB,74
4837,E. Ávila,Spain Primera Division,"ST, RM, LM",70
742,E. Ünal,Spain Primera Division,ST,78
10877,Edu Frias,Spain Primera Division,GK,64
3631,Elustondo,Spain Primera Division,"CM, CB, CDM",72
1418,Embarba,Spain Primera Division,"RM, ST, LM",76
1584,Eraso,Spain Primera Division,"CAM, CDM, RM",76
686,Escudero,Spain Primera Division,"LB, LM, LWB",79
2475,Etxeita,Spain Primera Division,CB,74
13028,Ezkieta,Spain Primera Division,GK,62
612,F. Coquelin,Spain Primera Division,"CDM, CM, CB, LM",79
10859,F. Feuillassier,Spain Primera Division,"LW, RW",64
16282,F. García,Spain Primera Division,"CDM, CAM, CM",57
684,F. Orellana,Spain Primera Division,"CAM, RM, LM",79
1966,F. Roncaglia,Spain Primera Division,"CB, RB, LB",75
2625,F. Valverde,Spain Primera Division,"CM, LM, CAM",73
312,F. Vázquez,Spain Primera Division,"CAM, CM",82
2606,Ferrán Torres,Spain Primera Division,"RM, RW, LM",73
98,Filipe Luís,Spain Primera Division,LB,85
3261,Fran Beltrán,Spain Primera Division,"CDM, CM",72
11019,Fran Manzanara,Spain Primera Division,"CDM, CB, CM",64
1735,Francis,Spain Primera Division,"RM, RWB, RB",75
648,Fábio Coentrão,Spain Primera Division,LB,79
37,G. Bale,Spain Primera Division,"RW, ST",88
1114,G. Cabral,Spain Primera Division,CB,77
1866,G. Carrillo,Spain Primera Division,ST,75
725,G. Escalante,Spain Primera Division,"CDM, CM",78
1512,G. Kakuta,Spain Primera Division,"LM, RM, CAM",76
241,G. Kondogbia,Spain Primera Division,"CM, CDM",82
2767,G. Maripán,Spain Primera Division,CB,73
661,G. Mercado,Spain Primera Division,"CB, RB",79
326,G. Rulli,Spain Primera Division,GK,81
1038,G. Shibasaki,Spain Primera Division,"CAM, CDM, ST",77
1331,Gabriel,Spain Primera Division,"CDM, CAM, CM",76
261,Gabriel Paulista,Spain Primera Division,"CB, RB",82
1520,Ganso,Spain Primera Division,"CAM, CM",76
569,Gayà,Spain Primera Division,"LB, LM",79
233,Gelson Martins,Spain Primera Division,RM,82
14056,Genís,Spain Primera Division,RB,61
185,Gerard Moreno,Spain Primera Division,ST,83
6660,Gorosabel,Spain Primera Division,RB,68
703,Granell,Spain Primera Division,CM,79
884,Granero,Spain Primera Division,"CM, LM",78
3467,Guitián,Spain Primera Division,"CB, CDM",72
4035,Gumbau,Spain Primera Division,"CDM, CM, CB",71
10008,Guridi,Spain Primera Division,"CM, CAM",65
7548,Guruzeta,Spain Primera Division,"ST, LW",67
1845,Gálvez,Spain Primera Division,CB,75
1470,H. Moreno,Spain Primera Division,"CB, LB",76
1203,H. Pérez,Spain Primera Division,"RM, LM",77
2644,Hermoso,Spain Primera Division,"CB, LB",73
917,Herrerín,Spain Primera Division,GK,78
2791,Hervías,Spain Primera Division,"RM, LM",73
12947,Hugo Duro,Spain Primera Division,ST,62
466,Hugo Mallo,Spain Primera Division,RB,80
6079,Héctor,Spain Primera Division,"LB, LWB, LM",69
1715,I. Amadou,Spain Primera Division,"CDM, CB",75
48,I. Rakitić,Spain Primera Division,CM,87
110,Iago Aspas,Spain Primera Division,"RW, ST",85
694,Ibai Gómez,Spain Primera Division,"RM, LM",79
7651,Iban Salvador,Spain Primera Division,"CAM, ST, RM, LM",67
2743,Ignasi Miquel,Spain Primera Division,CB,73
153,Illarramendi,Spain Primera Division,"CM, CDM",84
1703,Insua,Spain Primera Division,CB,75
1423,Iraizoz,Spain Primera Division,GK,76
17,Isco,Spain Primera Division,"CAM, CM, LW",89
912,Iturraspe,Spain Primera Division,"CM, CDM",78
1684,Ivi,Spain Primera Division,"LM, RM, ST",75
1321,Iván Alejo,Spain Primera Division,"RM, LM",76
1435,Iván Cuéllar,Spain Primera Division,GK,76
2678,Iván López,Spain Primera Division,"RB, RWB",73
1092,Iván Ramis,Spain Primera Division,CB,77
6721,Iván Villar,Spain Primera Division,GK,68
625,Iñigo Martínez,Spain Primera Division,CB,79
7590,Iñigo Muñoz,Spain Primera Division,RW,67
8809,Iñigo Vicente,Spain Primera Division,"CAM, CF",66
2685,J. Alonso,Spain Primera Division,"CB, LB",73
349,J. Cillessen,Spain Primera Division,GK,81
1736,J. Firpo,Spain Primera Division,"LB, LWB, CB, LM",75
118,J. Giménez,Spain Primera Division,"CB, RB",84
970,J. Gnagnon,Spain Primera Division,CB,77
585,J. Guidetti,Spain Primera Division,ST,79
1692,J. Hernández,Spain Primera Division,ST,75
781,J. Mojica,Spain Primera Division,"LWB, LM, LB",78
331,J. Murillo,Spain Primera Division,CB,81
5675,J. Narváez,Spain Primera Division,"CM, LM, ST",69
9,J. Oblak,Spain Primera Division,GK,90
2213,J. Silva,Spain Primera Division,LB,74
11970,Jaime Sierra,Spain Primera Division,"CM, CDM",63
7830,Jairo,Spain Primera Division,"RM, LM",67
2182,Jason,Spain Primera Division,"RM, LM",74
1342,Jaume,Spain Primera Division,GK,76
688,Jaume Costa,Spain Primera Division,"LB, LWB",79
17787,Javi,Spain Primera Division,GK,51
2749,Javi Espinosa,Spain Primera Division,"CAM, LM, RM",73
847,Javi Fuego,Spain Primera Division,"CDM, CM",78
860,Javi García,Spain Primera Division,"CDM, CM, CB",78
5189,Javi Guerra,Spain Primera Division,ST,70
10006,Javi Jiménez,Spain Primera Division,CB,65
2034,Javi López,Spain Primera Division,RB,75
6203,Javi Moyano,Spain Primera Division,"RB, LB",69
14774,Javi Pérez,Spain Primera Division,"CM, CDM",60
15757,Javi Rubio,Spain Primera Division,"LM, LB",58
10855,Jesús Areso,Spain Primera Division,RB,64
848,Jesús Navas,Spain Primera Division,"RM, RW, RB, RWB",78
1011,Joan Jordán,Spain Primera Division,"CM, CDM, CAM",77
269,Joaquín,Spain Primera Division,"RM, LM, ST",82
1841,Joel Robles,Spain Primera Division,GK,75
4051,Jon Bautista,Spain Primera Division,ST,71
9898,Joni Montiel,Spain Primera Division,"CAM, LM, RM",65
2104,Jony,Spain Primera Division,"LM, RM",75
54,Jordi Alba,Spain Primera Division,LB,87
1326,Jordi Amat,Spain Primera Division,"CB, CDM",76
3255,Jordi Calavera,Spain Primera Division,RB,72
2512,Jordi Masip,Spain Primera Division,GK,74
1101,Jorge Molina,Spain Primera Division,ST,77
4769,José Arnáiz,Spain Primera Division,"LM, ST, RM",70
8681,José Lara,Spain Primera Division,"RM, LM, CAM",66
10912,José Mena,Spain Primera Division,"CDM, CM, CAM, ST",64
7607,José Suárez,Spain Primera Division,GK,67
1071,Jozabed,Spain Primera Division,"CM, CAM",77
2459,Juanfran,Spain Primera Division,RB,74
487,Juanfran,Spain Primera Division,RB,80
1022,Juanmi,Spain Primera Division,"LW, ST, CAM",77
1057,Juanpe,Spain Primera Division,CB,77
10999,Julen López,Spain Primera Division,CB,64
13928,Julio Gracia,Spain Primera Division,CM,61
10040,K. Baysal,Spain Primera Division,"CM, CDM, CAM",65
142,K. Benzema,Spain Primera Division,ST,84
378,K. Gameiro,Spain Primera Division,ST,81
56,K. Navas,Spain Primera Division,GK,87
3268,K. Omeruo,Spain Primera Division,CB,72
10822,K. Soni,Spain Primera Division,"CAM, LM",64
474,K. Toko-Ekambi,Spain Primera Division,"ST, LW, LM",80
4679,Kangin Lee,Spain Primera Division,"CAM, LM, RM",70
1839,Keko,Spain Primera Division,RM,75
6844,Kevin,Spain Primera Division,RB,68
10364,Kike,Spain Primera Division,"CB, CDM",65
13266,Kike,Spain Primera Division,"CM, CDM",62
527,Kike García,Spain Primera Division,ST,80
14692,Kike PIna,Spain Primera Division,LB,60
511,Kiko Casilla,Spain Primera Division,GK,80
3693,Kiko Olivas,Spain Primera Division,CB,72
92,Koke,Spain Primera Division,"LM, CM, RM",85
6653,Koke Vegas,Spain Primera Division,GK,68
2707,Kévin Rodrigues,Spain Primera Division,LB,73
2530,L. Advíncula,Spain Primera Division,"RB, RWB",74
3412,L. Cabrera,Spain Primera Division,"CB, LB",72
1056,L. Chichizola,Spain Primera Division,GK,77
12133,L. García,Spain Primera Division,GK,63
220,L. Hernández,Spain Primera Division,"LB, CB",82
1,L. Messi,Spain Primera Division,"CF, RW, ST",94
7,L. Modrić,Spain Primera Division,"CM, CDM",91
469,L. Muriel,Spain Primera Division,ST,80
3247,L. Suárez,Spain Primera Division,"RM, LM",72
6,L. Suárez,Spain Primera Division,ST,91
12144,L. Zidane,Spain Primera Division,GK,63
1372,Laguardia,Spain Primera Division,CB,76
1629,Lato,Spain Primera Division,"LB, LWB, LM",75
1728,Lekue,Spain Primera Division,"RB, LW, LB, RW",75
591,Leo Baptistao,Spain Primera Division,"ST, RM, LM",79
7649,Lluis López,Spain Primera Division,CB,67
14741,Lombo,Spain Primera Division,GK,60
767,Loren,Spain Primera Division,"ST, RM",78
5743,Luca Sangalli,Spain Primera Division,"CM, RW",69
209,Lucas Vázquez,Spain Primera Division,"RW, RM",83
1953,Luisinho,Spain Primera Division,LB,75
3347,Luismi,Spain Primera Division,"CDM, CM",72
2327,Luna,Spain Primera Division,LB,74
1322,M. Arambarri,Spain Primera Division,"CDM, CM",76
1430,M. Barbosa,Spain Primera Division,GK,76
332,M. Batshuayi,Spain Primera Division,ST,81
1278,M. Diakhaby,Spain Primera Division,CB,76
629,M. Dmitrović,Spain Primera Division,GK,79
5483,M. Dos Santos,Spain Primera Division,CB,70
435,M. Gómez,Spain Primera Division,ST,80
1689,M. Jensen,Spain Primera Division,CM,75
885,M. Layún,Spain Primera Division,"RB, LB, RM, LM",78
8808,M. Ndockyt,Spain Primera Division,"CAM, LM, RM",66
11971,M. Salisu,Spain Primera Division,CB,63
2778,M. Santos,Spain Primera Division,"ST, LM",73
1291,M. Simon,Spain Primera Division,"LM, CF, RM",76
5621,M. Wagué,Spain Primera Division,RB,69
2461,M. Wakaso,Spain Primera Division,"CM, LM, RM",74
16,M. ter Stegen,Spain Primera Division,GK,89
2136,M. Ødegaard,Spain Primera Division,RW,74
159,Malcom,Spain Primera Division,RW,83
12294,Manel Royo,Spain Primera Division,"LB, CB",63
875,Manu García,Spain Primera Division,"CDM, CM",78
10926,Manu Hernando,Spain Primera Division,CB,64
4714,Manu Morlanes,Spain Primera Division,CM,70
183,Manu Trigueros,Spain Primera Division,"CM, CDM, LM",83
5691,Marc Cardona,Spain Primera Division,"ST, LM",69
2226,Marc Muniesa,Spain Primera Division,"CB, LB",74
1605,Marc Roca,Spain Primera Division,"CDM, CM",75
16625,Marc Vito,Spain Primera Division,GK,56
38,Marcelo,Spain Primera Division,LB,88
79,Marco Asensio,Spain Primera Division,"LW, CAM, RW",85
553,Marcos Llorente,Spain Primera Division,CDM,79
464,Mario Gaspar,Spain Primera Division,"RB, CB",80
12204,Mario González,Spain Primera Division,"LW, ST",63
9839,Markel Areitio,Spain Primera Division,GK,65
1103,Markel Bergara,Spain Primera Division,"CDM, CM",77
1737,Martín,Spain Primera Division,RB,75
16148,Martín,Spain Primera Division,CB,57
1583,Mata,Spain Primera Division,ST,76
15362,Matheus Aias,Spain Primera Division,ST,59
10848,Mayoral,Spain Primera Division,"RM, LM",64
1672,Medrán,Spain Primera Division,"CM, CDM, CAM",75
2651,Melendo,Spain Primera Division,"RM, LM",73
1687,Melero,Spain Primera Division,"CM, CDM, CAM",75
16288,Mena,Spain Primera Division,CM,57
14688,Mendi,Spain Primera Division,GK,60
1623,Merino,Spain Primera Division,"CM, CDM, LM",75
6727,Merquelanz,Spain Primera Division,"LW, RW",68
10876,Miguel,Spain Primera Division,"ST, RW",64
13064,Miguel Ángel,Spain Primera Division,CB,62
8837,Miguelón,Spain Primera Division,RB,66
1888,Mikel Rico,Spain Primera Division,"CM, CDM, CAM",75
1165,Mikel San José,Spain Primera Division,"CM, CDM",77
4643,Miramón,Spain Primera Division,RB,71
8682,Miranda,Spain Primera Division,"LB, CB",66
11131,Moi Delgado,Spain Primera Division,LB,64
2203,Moi Gómez,Spain Primera Division,"CAM, CM, LM, RM",74
14431,Montero,Spain Primera Division,"CB, LB",60
17013,Montes,Spain Primera Division,"CB, RB",55
404,Morales,Spain Primera Division,"LM, RM, ST",81
480,Moyá,Spain Primera Division,GK,80
441,Muniain,Spain Primera Division,"LW, CAM, RW, LM",80
988,Munir,Spain Primera Division,"ST, RW",77
2476,Míchel,Spain Primera Division,"CAM, CM, CDM",74
1765,N. Araújo,Spain Primera Division,CB,75
1495,N. El Zhar,Spain Primera Division,RM,76
669,N. Kalinić,Spain Primera Division,ST,79
4795,N. Leiva,Spain Primera Division,"LM, RM",70
2674,N. Maksimović,Spain Primera Division,"CDM, CM, RM",73
866,N. Pareja,Spain Primera Division,CB,78
1012,N. Radoja,Spain Primera Division,"CM, CDM",77
1376,N. Sansone,Spain Primera Division,"ST, LM, RM",76
1032,N. Vukčević,Spain Primera Division,"CDM, CM",77
4613,Nacho,Spain Primera Division,LB,71
184,Nacho Fernández,Spain Primera Division,"CB, LB, RB",83
3257,Nacho Gil,Spain Primera Division,"LM, RM",72
2051,Naldo,Spain Primera Division,CB,75
132,Neto,Spain Primera Division,GK,84
7630,Nolaskoain,Spain Primera Division,"CM, CAM",67
535,Nolito,Spain Primera Division,"LW, LM, ST, CAM",80
419,Nélson Semedo,Spain Primera Division,RB,80
5347,O. Alanís,Spain Primera Division,CB,70
214,O. Dembélé,Spain Primera Division,"RW, LW, CM",82
2081,O. Duarte,Spain Primera Division,CB,75
1131,O. Trejo,Spain Primera Division,"CAM, CM, ST",77
983,O. Yokuşlu,Spain Primera Division,"CDM, CB",77
15093,Obama,Spain Primera Division,"ST, LM",59
407,Odriozola,Spain Primera Division,RB,80
1961,Oier,Spain Primera Division,GK,75
7597,Oihan Sancet,Spain Primera Division,"CM, CAM",67
13878,Olabe,Spain Primera Division,"LM, CM",61
411,Oyarzabal,Spain Primera Division,"LW, RW",80
1143,P. Diop,Spain Primera Division,"CDM, CM",77
14682,P. Mbodji,Spain Primera Division,"CM, CDM",60
662,P. Piatti,Spain Primera Division,LM,79
2149,P. Roberts,Spain Primera Division,RM,74
8949,P. Sisniega,Spain Primera Division,GK,66
738,P. Sisto,Spain Primera Division,"LW, LM",78
10235,P. Twumasi,Spain Primera Division,"RW, RM",65
328,Pablo Fornals,Spain Primera Division,"CAM, CM, LM",81
356,Pablo Sarabia,Spain Primera Division,"RM, LM, LB, RW",81
593,Pacheco,Spain Primera Division,GK,79
561,Paco Alcácer,Spain Primera Division,ST,79
7654,Paik Seung Ho,Spain Primera Division,"CM, RW, LW",67
73,Parejo,Spain Primera Division,"CM, CAM, CDM",86
14444,Pascu,Spain Primera Division,"CM, CDM",60
9893,Pastrana,Spain Primera Division,"LM, LW, RW",65
231,Pau López,Spain Primera Division,GK,82
805,Paulo Oliveira,Spain Primera Division,CB,78
1318,Pedraza,Spain Primera Division,"LM, LB",76
377,Pedro León,Spain Primera Division,"RM, LM",81
4351,Pedro López,Spain Primera Division,"RB, RM",71
13786,Pedro Porro,Spain Primera Division,"RB, RM, LM",61
16684,Pedrosa,Spain Primera Division,ST,56
6661,Pejiño,Spain Primera Division,"LM, LW, RW",68
8676,Pepelu,Spain Primera Division,"CM, CDM",66
2732,Pere Milla,Spain Primera Division,"CAM, RM, LM, ST",73
762,Pere Pons,Spain Primera Division,CM,78
7757,Pipa,Spain Primera Division,RB,67
47,Piqué,Spain Primera Division,CB,87
16472,Pol Lozano,Spain Primera Division,CM,56
2028,Portillo,Spain Primera Division,"RM, CAM",75
472,Portu,Spain Primera Division,"RM, ST",80
2090,Postigo,Spain Primera Division,CB,75
2158,Pozo,Spain Primera Division,"CAM, ST, RM, LM",74
7756,Puado,Spain Primera Division,"ST, LM, CAM",67
4256,Pulido,Spain Primera Division,CB,71
13191,Quinti,Spain Primera Division,"LB, CB, CDM",62
13074,Quique Cebriá,Spain Primera Division,GK,62
522,R. Boudebouz,Spain Primera Division,"CAM, RM, ST",80
6508,R. Brežančić,Spain Primera Division,LB,69
6627,R. Dwamena,Spain Primera Division,"ST, RW",68
1061,R. Funes Mori,Spain Primera Division,CB,77
8805,R. Guerra,Spain Primera Division,"CM, CDM",66
12899,R. Le Normand,Spain Primera Division,"CB, CDM",62
6778,R. Mazáň,Spain Primera Division,LB,68
58,R. Varane,Spain Primera Division,CB,86
226,Rafinha,Spain Primera Division,"CAM, CM",82
2224,Ramalho,Spain Primera Division,"CB, RB",74
3079,Raul García,Spain Primera Division,"LB, CB",73
372,Raúl García,Spain Primera Division,CAM,81
2043,Raúl Navas,Spain Primera Division,CB,75
15253,Raúl Sánchez,Spain Primera Division,"LM, LB",59
10880,Reguilón,Spain Primera Division,"LB, LM",64
2890,Riesgo,Spain Primera Division,GK,73
6542,Riqui Puig,Spain Primera Division,CM,68
3447,Rober Ibáñez,Spain Primera Division,"RM, LM",72
12107,Robert Costa,Spain Primera Division,CB,63
1160,Roberto,Spain Primera Division,GK,77
1980,Rochina,Spain Primera Division,"RM, CAM",75
234,Rodri,Spain Primera Division,"CM, CDM",82
133,Rodrigo,Spain Primera Division,"ST, RW, LW",84
1744,Rodrigo Ely,Spain Primera Division,CB,75
1070,Roger,Spain Primera Division,ST,77
698,Roque Mesa,Spain Primera Division,"CDM, CM",79
3544,Rubén Alcaraz,Spain Primera Division,"CM, CDM, CAM",72
973,Rubén Blanco,Spain Primera Division,GK,77
1730,Rubén Duarte,Spain Primera Division,LB,75
3337,Rubén García,Spain Primera Division,"CAM, LM, RM",72
13407,Rubén Mesa,Spain Primera Division,ST,62
1780,Rubén Pardo,Spain Primera Division,"CM, CDM",75
1072,Rubén Peña,Spain Primera Division,"RB, ST, RM, LM",77
2002,Rubén Pérez,Spain Primera Division,"CDM, CM",75
1380,Rubén Sobrino,Spain Primera Division,"ST, LM, RM, CAM",76
7705,Rubén Yáñez,Spain Primera Division,GK,67
2637,Róber,Spain Primera Division,"CB, CDM",73
1675,Rúben Semedo,Spain Primera Division,CB,75
987,Rúben Vezo,Spain Primera Division,"CB, RB",77
779,S. Arias,Spain Primera Division,RB,78
1030,S. Boufal,Spain Primera Division,"LW, RW, CAM",77
1831,S. Corchia,Spain Primera Division,"RB, RM",75
4737,S. Cáseres,Spain Primera Division,"CDM, CM",70
1399,S. Gürler,Spain Primera Division,"RM, ST",76
658,S. Kjær,Spain Primera Division,CB,79
741,S. Lobotka,Spain Primera Division,"CM, CDM",78
2299,S. Longo,Spain Primera Division,ST,74
2754,S. Prcić,Spain Primera Division,"CDM, CM",73
181,S. Savić,Spain Primera Division,CB,83
42,S. Umtiti,Spain Primera Division,CB,87
1870,Sabin Merino,Spain Primera Division,"LW, ST, RW",75
3776,Samu García,Spain Primera Division,"RM, ST, CAM, LM",72
15339,Samu Pérez,Spain Primera Division,GK,59
14633,San Román,Spain Primera Division,GK,60
8276,Santamaría,Spain Primera Division,GK,67
485,Santi Cazorla,Spain Primera Division,"CM, CDM, LM",80
5822,Santi Comesaña,Spain Primera Division,"CM, CAM, LM, RM",69
428,Santi Mina,Spain Primera Division,"ST, LW, RW",80
4399,Sastre,Spain Primera Division,"CM, CDM",71
81,Saúl,Spain Primera Division,"CM, LM, RM",85
1377,Serantes,Spain Primera Division,GK,76
576,Sergi Darder,Spain Primera Division,"CM, CDM, RM",79
531,Sergi Enrich,Spain Primera Division,ST,80
1871,Sergi Guardiola,Spain Primera Division,ST,75
997,Sergi Gómez,Spain Primera Division,CB,77
120,Sergi Roberto,Spain Primera Division,"RB, RM",84
2653,Sergi Samper,Spain Primera Division,"CDM, CM",73
14546,Sergi Álamo,Spain Primera Division,LB,60
