,short_name,league_name,player_positions,overall
1118,Bruno,Spain Primera Division,CB,77
9981,Bryan Gil,Spain Primera Division,"LW, LM",65
2303,Burgui,Spain Primera Division,"LM, RM",74
1381,Bustinza,Spain Primera Division,"CB, RB",76
2205,C. Awaziem,Spain Primera Division,CB,74
733,C. Bacca,Spain Primera Division,ST,79
3776,C. Beauvue,Spain Primera Division,"ST, RW",72
3443,C. Doukouré,Spain Primera Division,"CDM, CM",72
4423,C. Ganea,Spain Primera Division,LB,71
84,C. Lenglet,Spain Primera Division,CB,85
1097,C. Piccini,Spain Primera Division,"RB, RWB",77
782,Calero,Spain Primera Division,CB,78
453,Campaña,Spain Primera Division,"CM, CDM",80
149,Canales,Spain Primera Division,"CAM, CM, CF",84
859,Capa,Spain Primera Division,RB,78
7739,Carles Pérez,Spain Primera Division,"RM, RW",67
10296,Carlos Blanco,Spain Primera Division,CB,65
1638,Carlos Fernández,Spain Primera Division,ST,75
11237,Carlos Isaac,Spain Primera Division,RB,64
9123,Carlos Neva,Spain Primera Division,LB,66
419,Carlos Soler,Spain Primera Division,"RM, CM",80
14171,Carreira,Spain Primera Division,RB,61
94,Carvajal,Spain Primera Division,RB,85
42,Casemiro,Spain Primera Division,CDM,87
502,Charles,Spain Primera Division,ST,80
7945,Chris Ramos,Spain Primera Division,ST,67
9966,Chumi,Spain Primera Division,CB,65
2937,Clerc,Spain Primera Division,"LB, LWB",73
886,Coke,Spain Primera Division,"RB, RM",78
706,Cote,Spain Primera Division,LB,79
7851,Cristian Rivero,Spain Primera Division,GK,67
549,Cristian Tello,Spain Primera Division,"LM, RM",80
1651,Cucurella,Spain Primera Division,"LM, LB",75
1042,Córdoba,Spain Primera Division,LW,77
1881,D. Brašanac,Spain Primera Division,"CM, RM, CDM",75
732,D. Cheryshev,Spain Primera Division,"LM, LW",79
191,D. Djené,Spain Primera Division,CB,83
3302,D. Lainez,Spain Primera Division,"RM, LM, CAM",72
2079,D. Machís,Spain Primera Division,"LM, ST, CAM",75
1579,D. Siovas,Spain Primera Division,CB,76
728,D. Suárez,Spain Primera Division,"RB, RM",79
2088,D. Torres,Spain Primera Division,"CDM, CM",75
508,D. Wass,Spain Primera Division,"CM, RB, RM",80
1468,D. Zurutuza,Spain Primera Division,"CM, CDM",76
12483,Dani Cárdenas,Spain Primera Division,GK,63
405,Dani García,Spain Primera Division,"CM, CDM",81
5756,Dani Martín,Spain Primera Division,GK,69
11252,Dani Molina,Spain Primera Division,"CDM, CAM",64
3874,Dani Rodríguez,Spain Primera Division,"CM, CAM, LM",72
13323,Dani Sandoval,Spain Primera Division,"LM, RM",62
11215,Dani Vivian,Spain Primera Division,CB,64
926,Daniel Carriço,Spain Primera Division,CB,78
14919,Daniel Rebollo,Spain Primera Division,GK,60
16069,Darío Ramos,Spain Primera Division,GK,58
11283,David Alba,Spain Primera Division,CB,64
3457,David Costas,Spain Primera Division,CB,72
5946,David García,Spain Primera Division,CB,69
2766,David Juncà,Spain Primera Division,"LB, LWB",73
848,David López,Spain Primera Division,"CB, CDM",78
268,David Soria,Spain Primera Division,GK,82
6737,De Frutos,Spain Primera Division,"RM, LM, ST",68
934,De Marcos,Spain Primera Division,"RB, RW",78
9980,De la Fuente,Spain Primera Division,CB,65
803,Denis Suárez,Spain Primera Division,"CM, LM, RM",78
7757,Diego Alende,Spain Primera Division,CB,67
647,Diego Carlos,Spain Primera Division,CB,79
215,Diego Costa,Spain Primera Division,ST,83
1050,Diego Llorente,Spain Primera Division,CB,77
493,Diego López,Spain Primera Division,GK,80
14136,Diego Pampín,Spain Primera Division,"LB, LM",61
3436,Domingos Duarte,Spain Primera Division,CB,72
2006,Dídac Vilà,Spain Primera Division,"LB, LWB",75
5783,E. Apeh,Spain Primera Division,ST,69
214,E. Banega,Spain Primera Division,"CDM, CM, CAM",83
780,E. Bardhi,Spain Primera Division,"CM, LM, CAM",78
4308,E. Burgos,Spain Primera Division,CB,71
1716,E. Cabaco,Spain Primera Division,CB,75
7776,E. Demirović,Spain Primera Division,ST,67
211,E. Garay,Spain Primera Division,CB,83
4,E. Hazard,Spain Primera Division,"LW, CF",91
1389,E. Mangala,Spain Primera Division,CB,76
1742,E. Ávila,Spain Primera Division,"ST, RM",75
1019,E. Ünal,Spain Primera Division,ST,77
13545,Edgar,Spain Primera Division,CB,62
11631,Edu Espiau,Spain Primera Division,ST,64
1275,Edu Expósito,Spain Primera Division,"CM, CAM",76
14826,Elias Ramírez,Spain Primera Division,GK,60
14314,Eliseo Falcón,Spain Primera Division,"CB, RB",61
4066,Emerson,Spain Primera Division,RB,71
12654,Endika,Spain Primera Division,LB,63
7974,Eneko Capilla,Spain Primera Division,"CAM, CM, CDM",67
2650,Enric Gallego,Spain Primera Division,ST,74
2607,Eraso,Spain Primera Division,CAM,74
713,Escudero,Spain Primera Division,"LB, LM",79
3112,Etxeita,Spain Primera Division,CB,73
12472,Ezkieta,Spain Primera Division,GK,63
2779,F. Barba,Spain Primera Division,"CB, LB",73
532,F. Coquelin,Spain Primera Division,"CM, CDM",80
1227,F. Fajr,Spain Primera Division,"CM, CDM, RM",77
1238,F. Ferreyra,Spain Primera Division,ST,77
11445,F. García,Spain Primera Division,CDM,64
4903,F. Manojlović,Spain Primera Division,GK,70
425,F. Mendy,Spain Primera Division,LB,80
710,F. Orellana,Spain Primera Division,"RM, CAM, LM",79
1499,F. Roncaglia,Spain Primera Division,"CB, RB",76
1011,F. Valverde,Spain Primera Division,"CM, LM, CDM",77
5787,F. Varela,Spain Primera Division,"CM, CAM",69
403,F. Vázquez,Spain Primera Division,"CM, CAM",81
75,F. de Jong,Spain Primera Division,"CM, CDM",85
2676,Fede,Spain Primera Division,"CDM, CM, CB",73
1757,Fede Vico,Spain Primera Division,"CAM, LM, RM",75
156,Felipe,Spain Primera Division,CB,84
13309,Fer Niño,Spain Primera Division,ST,62
392,Fernando,Spain Primera Division,"CDM, CM",81
1637,Ferrán Torres,Spain Primera Division,RM,75
8935,Fidalgo,Spain Primera Division,"CAM, CM, LM",66
1660,Fran Beltrán,Spain Primera Division,"CDM, CM, CAM",75
6628,Fran Gámez,Spain Primera Division,RB,69
10128,Fran Manzanara,Spain Primera Division,CDM,65
3065,Fran Mérida,Spain Primera Division,"CDM, CM",73
13603,Fran Serrano,Spain Primera Division,CB,62
12549,Fran Vieites,Spain Primera Division,GK,63
2189,Francis,Spain Primera Division,"RM, RWB, RB",74
100,G. Bale,Spain Primera Division,"RW, LW, ST",85
1058,G. Escalante,Spain Primera Division,"CDM, CM",77
3482,G. Fernández,Spain Primera Division,ST,72
346,G. Kondogbia,Spain Primera Division,"CM, CDM",81
811,G. Maripán,Spain Primera Division,CB,78
12546,Gabri Salazar,Spain Primera Division,ST,63
279,Gabriel Paulista,Spain Primera Division,CB,82
340,Gayà,Spain Primera Division,LB,81
368,Gerard Moreno,Spain Primera Division,"ST, CF",81
3151,Germán,Spain Primera Division,CB,73
168,Gonçalo Guedes,Spain Primera Division,"LM, ST",83
4935,Gorosabel,Spain Primera Division,RB,70
686,Granero,Spain Primera Division,"CM, LM, RM",79
6699,Guruzeta,Spain Primera Division,ST,68
4791,H. Abe,Spain Primera Division,"LM, RM",70
292,H. Herrera,Spain Primera Division,CM,82
2087,Hernâni,Spain Primera Division,"RM, RW",75
715,Herrerín,Spain Primera Division,GK,79
3189,Hervías,Spain Primera Division,"RM, LM",73
7741,Hugo Duro,Spain Primera Division,"ST, LM",67
947,Hugo Mallo,Spain Primera Division,RB,78
5791,I. Baba,Spain Primera Division,"CDM, CM",69
64,I. Rakitić,Spain Primera Division,"CM, CDM",86
6763,I. Šaponjić,Spain Primera Division,ST,68
104,Iago Aspas,Spain Primera Division,"ST, RW",85
14507,Iago Indias,Spain Primera Division,"CB, CDM",61
547,Ibai Gómez,Spain Primera Division,"RM, RW, LM",80
930,Iborra,Spain Primera Division,"CM, CDM",78
11138,Iker Losada,Spain Primera Division,"ST, CF",64
222,Illarramendi,Spain Primera Division,"CDM, CM",83
62,Isco,Spain Primera Division,"CAM, CM, LW",86
13655,Isi,Spain Primera Division,"CM, CAM",62
14893,Ismael,Spain Primera Division,CM,60
1521,Iturraspe,Spain Primera Division,"CM, CDM",76
13539,Iván,Spain Primera Division,LM,62
2273,Iván Alejo,Spain Primera Division,"RM, LM",74
1138,Iván Cuéllar,Spain Primera Division,GK,77
3491,Iván López,Spain Primera Division,"RB, RWB",72
13387,Iván Martín,Spain Primera Division,"CAM, CM",62
17535,Iván Martínez,Spain Primera Division,GK,54
1137,Iván Ramis,Spain Primera Division,CB,77
7969,Iván Villar,Spain Primera Division,GK,67
11118,Iñaki Peña,Spain Primera Division,GK,64
255,Iñaki Williams,Spain Primera Division,"ST, RW",82
479,Iñigo Martínez,Spain Primera Division,CB,80
2526,Iñigo Pérez,Spain Primera Division,"CDM, CM",74
2223,J. Aidoo,Spain Primera Division,CB,74
16028,J. Blazquez,Spain Primera Division,GK,58
196,J. Cillessen,Spain Primera Division,GK,83
5720,J. Fuchs,Spain Primera Division,"CDM, CM",69
83,J. Giménez,Spain Primera Division,CB,85
1713,J. Gnagnon,Spain Primera Division,CB,75
1406,J. Guidetti,Spain Primera Division,ST,76
1271,J. Koundé,Spain Primera Division,CB,76
10127,J. Mejías,Spain Primera Division,CB,65
5881,J. Narváez,Spain Primera Division,"LM, CM, ST",69
3,J. Oblak,Spain Primera Division,GK,91
106,J. Rodríguez,Spain Primera Division,"CAM, CM, RM",85
11112,J. Sanabria,Spain Primera Division,"RM, LM, CM",64
2237,J. Silva,Spain Primera Division,"LWB, LB",74
4052,J. Todibo,Spain Primera Division,"CB, CDM",71
13570,J. Victoria,Spain Primera Division,ST,62
11204,Jaime Sierra,Spain Primera Division,"CM, CDM",64
1808,Jason,Spain Primera Division,RM,75
1396,Jaume,Spain Primera Division,GK,76
943,Jaume Costa,Spain Primera Division,LB,78
10114,Javi Díaz,Spain Primera Division,GK,65
1147,Javi García,Spain Primera Division,"CDM, CM, CB",77
5688,Javi Hernández,Spain Primera Division,"CB, LWB",69
11501,Javi Jiménez,Spain Primera Division,CB,64
2032,Javi López,Spain Primera Division,"RB, RWB",75
5309,Javi Moyano,Spain Primera Division,RB,70
5845,Javi Muñoz,Spain Primera Division,CM,69
5717,Javi Sánchez,Spain Primera Division,CB,69
11167,Jesús Areso,Spain Primera Division,RB,64
290,Jesús Navas,Spain Primera Division,"RM, RB",82
797,Joan Jordán,Spain Primera Division,"CM, CDM, CAM",78
12457,Joan Monterde,Spain Primera Division,"CAM, RM",63
4887,Joan Sastre,Spain Primera Division,"RB, LB",70
488,Joaquín,Spain Primera Division,"LM, ST, RM",80
2182,Joaquín,Spain Primera Division,"CB, CDM",74
843,Joel Robles,Spain Primera Division,GK,78
51,Jordi Alba,Spain Primera Division,LB,87
4169,Jordi Calavera,Spain Primera Division,RB,71
9998,Jordi Escobar,Spain Primera Division,ST,65
365,Jordi Masip,Spain Primera Division,GK,81
13701,Jordi Sánchez,Spain Primera Division,ST,62
10028,Jorge Cuenca,Spain Primera Division,CB,65
2611,Jorge Miramón,Spain Primera Division,"RB, RWB",74
496,Jorge Molina,Spain Primera Division,ST,80
3334,Jorge Sáenz,Spain Primera Division,CB,72
2427,Joselu,Spain Primera Division,ST,74
4960,José Arnáiz,Spain Primera Division,LM,70
11169,José Lara,Spain Primera Division,"RM, LM",64
2568,Jozabed,Spain Primera Division,"CM, CDM, CAM",74
412,João Félix,Spain Primera Division,"CF, ST",80
9242,Juan Hernández,Spain Primera Division,"RM, ST",66
3465,Juan Muñoz,Spain Primera Division,ST,72
12475,Juan Pérez,Spain Primera Division,GK,63
3125,Juan Villar,Spain Primera Division,"ST, RM",73
1114,Juanmi,Spain Primera Division,"LW, ST, LM",77
12524,Julen López,Spain Primera Division,CB,63
15725,Julio Alonso,Spain Primera Division,"LB, RB",59
603,Junior Firpo,Spain Primera Division,"LB, LM, LWB",79
46,K. Benzema,Spain Primera Division,"CF, ST",87
384,K. Gameiro,Spain Primera Division,ST,81
6059,K. Kodro,Spain Primera Division,ST,69
53,K. Navas,Spain Primera Division,GK,87
1664,K. Omeruo,Spain Primera Division,CB,75
648,K. Toko-Ekambi,Spain Primera Division,"ST, LM, LW",79
526,K. Trippier,Spain Primera Division,"RB, RWB",80
14362,Kaiser,Spain Primera Division,CB,61
1272,Kangin Lee,Spain Primera Division,"CAM, LM, RM",76
7076,Kevin,Spain Primera Division,RB,68
5844,Kike Barja,Spain Primera Division,"LM, RM",69
712,Kike García,Spain Primera Division,"ST, LM",79
1511,Kiko Olivas,Spain Primera Division,CB,76
105,Koke,Spain Primera Division,"RM, LM, CM",85
8865,Kuki Zalazar,Spain Primera Division,"CAM, RM, ST",66
2231,Kévin Rodrigues,Spain Primera Division,LB,74
4177,L. Agbenyenu,Spain Primera Division,"LB, LW",71
624,L. Cabrera,Spain Primera Division,"CB, LB",79
1400,L. Chichizola,Spain Primera Division,GK,76
12532,L. García,Spain Primera Division,GK,63
161,L. Jović,Spain Primera Division,ST,83
2007,L. Júnior,Spain Primera Division,"LM, RM, ST",75
0,L. Messi,Spain Primera Division,"RW, CF, ST",94
8,L. Modrić,Spain Primera Division,CM,90
1077,L. Ocampos,Spain Primera Division,"LM, LW",77
1733,L. Olaza,Spain Primera Division,LB,75
4792,L. Reis,Spain Primera Division,"CDM, CM",70
19,L. Suárez,Spain Primera Division,ST,89
4110,L. Suárez,Spain Primera Division,"RM, ST, CAM",71
311,L. de Jong,Spain Primera Division,ST,82
654,Laguardia,Spain Primera Division,CB,79
6698,Larrazabal,Spain Primera Division,RW,68
4140,Lazo,Spain Primera Division,"LM, LW",71
2960,Lekue,Spain Primera Division,"RB, LW, LB",73
7409,Lillo,Spain Primera Division,"RB, CB, LB",68
4071,Lluis López,Spain Primera Division,CB,71
15109,Lombo,Spain Primera Division,GK,60
450,Loren,Spain Primera Division,ST,80
2738,Luca Sangalli,Spain Primera Division,"CM, CAM, RM",73
1214,Lucas Pérez,Spain Primera Division,"ST, RM",77
2290,Lucas Silva,Spain Primera Division,"CDM, CM",74
404,Lucas Vázquez,Spain Primera Division,"RW, RM",81
10029,Luis Perea,Spain Primera Division,"CM, CDM",65
5160,Luis Rioja,Spain Primera Division,LM,70
7611,Luismi,Spain Primera Division,CDM,68
3158,Luna,Spain Primera Division,"LB, LM",73
1064,M. Arambarri,Spain Primera Division,"CDM, CM",77
1898,M. Barbosa,Spain Primera Division,GK,75
2018,M. Braithwaite,Spain Primera Division,ST,75
483,M. Dabbur,Spain Primera Division,"ST, LM",80
1063,M. Diakhaby,Spain Primera Division,CB,77
487,M. Dmitrović,Spain Primera Division,GK,80
7764,M. El Hacen,Spain Primera Division,CDM,67
12412,M. Ezzarfani,Spain Primera Division,"RW, LW, ST",63
439,M. Gómez,Spain Primera Division,ST,80
8930,M. Ndockyt,Spain Primera Division,"CAM, LM, RM",66
2166,M. Olivera,Spain Primera Division,"LB, LM",74
6678,M. Sagnan,Spain Primera Division,CB,68
6658,M. Salisu,Spain Primera Division,CB,68
4130,M. Valjent,Spain Primera Division,"CB, RB",71
1001,M. Vargas,Spain Primera Division,"LW, CAM, LM",77
4075,M. Wagué,Spain Primera Division,"RB, RWB, LB",71
1983,M. Wakaso,Spain Primera Division,"CM, LM",75
6,M. ter Stegen,Spain Primera Division,GK,90
766,M. Ødegaard,Spain Primera Division,"RW, CAM, CM",78
5319,Manolo Reina,Spain Primera Division,GK,70
885,Manu García,Spain Primera Division,"CM, CDM",78
3345,Manu Morlanes,Spain Primera Division,CM,72
481,Manu Trigueros,Spain Primera Division,"CM, CDM",80
1627,Manu Vallejo,Spain Primera Division,"ST, CAM, LM",75
3400,Marc Cardona,Spain Primera Division,"ST, LM",72
2800,Marc Navarro,Spain Primera Division,RB,73
6388,Marc Pedraza,Spain Primera Division,"CDM, CM",69
588,Marc Roca,Spain Primera Division,"CDM, CM",79
101,Marcelo,Spain Primera Division,LB,85
178,Marco Asensio,Spain Primera Division,"LW, RW",83
424,Marcos Llorente,Spain Primera Division,CDM,80
637,Mariano,Spain Primera Division,ST,79
714,Mario Gaspar,Spain Primera Division,"RB, RM, CB",79
418,Mario Hermoso,Spain Primera Division,CB,80
1449,Markel Bergara,Spain Primera Division,"CDM, CM",76
1753,Martín,Spain Primera Division,RB,75
5961,Martínez,Spain Primera Division,CB,69
562,Mata,Spain Primera Division,ST,80
1803,Medrán,Spain Primera Division,"CM, CDM, CAM",75
426,Melendo,Spain Primera Division,"RM, LM, CAM",80
1707,Melero,Spain Primera Division,"CDM, CM",75
575,Merino,Spain Primera Division,"CM, CDM, LM",79
8813,Miguel,Spain Primera Division,ST,66
11339,Miguel Marí,Spain Primera Division,"CM, CAM",64
915,Mikel San José,Spain Primera Division,"CM, CDM",78
7987,Miquel Parera,Spain Primera Division,GK,67
7740,Miranda,Spain Primera Division,"LB, CB",67
2773,Moi Gómez,Spain Primera Division,"CM, CDM",73
9955,Mollejo,Spain Primera Division,RW,65
10206,Moncayola,Spain Primera Division,"LM, CM",65
6646,Montero,Spain Primera Division,CB,68
2471,Montoro,Spain Primera Division,CDM,74
324,Morales,Spain Primera Division,"ST, LM",82
187,Morata,Spain Primera Division,ST,83
14642,Moyita,Spain Primera Division,"RM, CAM",61
490,Moyá,Spain Primera Division,GK,80
270,Muniain,Spain Primera Division,"CAM, LW",82
610,Munir,Spain Primera Division,"ST, RW, LM",79
2494,Míchel,Spain Primera Division,"CM, CDM",74
1358,N. Araújo,Spain Primera Division,CB,76
14779,N. Djouahra,Spain Primera Division,CAM,60
121,N. Fekir,Spain Primera Division,CAM,84
1112,N. Gudelj,Spain Primera Division,"CDM, CM",77
696,N. Kalinić,Spain Primera Division,ST,79
6866,N. Lozano,Spain Primera Division,CB,68
781,N. Maksimović,Spain Primera Division,"CM, CDM",78
1811,N. Vukčević,Spain Primera Division,"CDM, CM",75
1237,Nacho,Spain Primera Division,LB,77
278,Nacho Fernández,Spain Primera Division,"CB, LB, RB",82
3405,Nacho Vidal,Spain Primera Division,"RB, RWB",72
960,Naldo,Spain Primera Division,CB,78
7080,Nando,Spain Primera Division,"RM, LM, ST",68
91,Neto,Spain Primera Division,GK,85
13253,Nico Ribaudo,Spain Primera Division,"CAM, CM",62
955,Nolito,Spain Primera Division,"LM, LW",78
250,Nélson Semedo,Spain Primera Division,RB,82
110,O. Dembélé,Spain Primera Division,"RW, LW",84
1584,O. Duarte,Spain Primera Division,"CB, CDM",76
13424,O. Kwabena,Spain Primera Division,"LM, RM, ST",62
9106,O. Verdon,Spain Primera Division,CB,66
771,O. Yokuşlu,Spain Primera Division,"CDM, CM, CB",78
13221,Obama,Spain Primera Division,"ST, LM",62
438,Odriozola,Spain Primera Division,RB,80
2345,Oier,Spain Primera Division,GK,74
3109,Oier,Spain Primera Division,"CDM, CM",73
14357,Oleaga,Spain Primera Division,GK,61
7738,Oriol Busquets,Spain Primera Division,"CDM, CM",67
12340,Otegui,Spain Primera Division,"CM, CAM",63
238,Oyarzabal,Spain Primera Division,"LW, LM, RW",82
3162,P. Chavarría,Spain Primera Division,"ST, RM",73
12511,P. Cornud,Spain Primera Division,"LB, LWB",63
2570,P. De Blasis,Spain Primera Division,"LM, RM, RB",74
2155,P. Diop,Spain Primera Division,"CM, CDM",74
897,P. Diop,Spain Primera Division,"CDM, CM",78
6706,P. Estupiñán,Spain Primera Division,"LB, LM",68
911,P. Piatti,Spain Primera Division,"LM, RM, LW",78
1034,P. Sisto,Spain Primera Division,"LW, LM",77
265,Pacheco,Spain Primera Division,GK,82
69,Parejo,Spain Primera Division,CM,86
2712,Pau Torres,Spain Primera Division,CB,73
11247,Paulino,Spain Primera Division,"RM, CAM",64
1416,Paulo Oliveira,Spain Primera Division,CB,76
1339,Pedraza,Spain Primera Division,"LM, LB, LWB",76
510,Pedro León,Spain Primera Division,RM,80
2673,Pedro Porro,Spain Primera Division,"RWB, RB, RM",73
6820,Pejiño,Spain Primera Division,"LM, RM",68
12506,Pepe Castaño,Spain Primera Division,CB,63
12485,Pepe Mena,Spain Primera Division,"CDM, CM, CAM",63
1368,Pere Pons,Spain Primera Division,"CM, CDM",76
11289,Perera,Spain Primera Division,CDM,64
6822,Pipa,Spain Primera Division,"RM, RB, RWB",68
29,Piqué,Spain Primera Division,CB,88
13298,Pol Lozano,Spain Primera Division,CM,62
1540,Portillo,Spain Primera Division,"RM, LM",76
480,Portu,Spain Primera Division,"CF, ST, RM",80
2090,Postigo,Spain Primera Division,CB,75
2662,Puado,Spain Primera Division,"ST, CF, CAM",73
3224,Puertas,Spain Primera Division,"LM, RM",73
6505,Quini,Spain Primera Division,"LB, RB",69
5796,Quintillá,Spain Primera Division,LB,69
1997,Quique,Spain Primera Division,"ST, RM, LM",75
3496,R. Azeez,Spain Primera Division,"CDM, CM, CAM",72
1115,R. Funes Mori,Spain Primera Division,CB,77
8990,R. Guerra,Spain Primera Division,CDM,66
5723,R. Le Normand,Spain Primera Division,"CB, CDM",69
1494,R. Rosales,Spain Primera Division,"RB, RWB, RM",76
76,R. Varane,Spain Primera Division,CB,85
5029,Rafa Navarro,Spain Primera Division,"RB, RWB",70
345,Rafinha,Spain Primera Division,"CAM, CM, RW",81
2912,Raillo,Spain Primera Division,CB,73
3152,Raul García,Spain Primera Division,"LB, CB, LM",73
205,Raúl Albiol,Spain Primera Division,CB,83
506,Raúl García,Spain Primera Division,CAM,80
1555,Raúl Navas,Spain Primera Division,CB,76
16022,Raúl Prada,Spain Primera Division,"CB, LB",58
15679,Raúl Sánchez,Spain Primera Division,"LM, LB",59
2056,Recio,Spain Primera Division,CM,75
1014,Reguilón,Spain Primera Division,LB,77
1015,Renan Lodi,Spain Primera Division,LB,77
12284,Riquelme,Spain Primera Division,"CF, CAM",63
4049,Riqui Puig,Spain Primera Division,CM,71
6053,Rober Correa,Spain Primera Division,RB,69
3676,Rober Ibáñez,Spain Primera Division,"RM, LM",72
8822,Robert,Spain Primera Division,"RW, LW, ST",66
12266,Roberto López,Spain Primera Division,CAM,63
3200,Roberto Torres,Spain Primera Division,"RM, LM, CAM",73
1514,Rochina,Spain Primera Division,"CM, CAM, RM",76
4606,Rodri,Spain Primera Division,ST,71
4810,Rodri Tarín,Spain Primera Division,"CB, RB",70
229,Rodrigo,Spain Primera Division,ST,83
1755,Rodrigo Ely,Spain Primera Division,CB,75
1258,Rodrygo,Spain Primera Division,"LW, RW, ST",76
1233,Roger,Spain Primera Division,ST,77
434,Rony Lopes,Spain Primera Division,"LM, LW",80
729,Roque Mesa,Spain Primera Division,"CDM, CM",79
5264,Rubén,Spain Primera Division,GK,70
744,Rubén Alcaraz,Spain Primera Division,"CM, CDM",79
1302,Rubén Blanco,Spain Primera Division,GK,76
1338,Rubén Duarte,Spain Primera Division,LB,76
2293,Rubén García,Spain Primera Division,"CAM, ST, RM",74
8264,Rubén Lobato,Spain Primera Division,LB,67
2328,Rubén Pardo,Spain Primera Division,"CM, CAM, CDM",74
736,Rubén Peña,Spain Primera Division,"RB, RM",79
1526,Rubén Pérez,Spain Primera Division,"CDM, CM",76
1125,Rubén Sobrino,Spain Primera Division,"ST, RM",77
15239,Rubén Sánchez,Spain Primera Division,ST,60
8090,Rubén Yáñez,Spain Primera Division,GK,67
4153,Rui Silva,Spain Primera Division,GK,71
794,Rúben Vezo,Spain Primera Division,"CB, RB",78
659,S. Arias,Spain Primera Division,RB,79
11603,S. Chakla,Spain Primera Division,CB,64
1284,S. Chukwueze,Spain Primera Division,"RM, CF, RW",76
2506,S. Corchia,Spain Primera Division,RB,74
2187,S. Cáseres,Spain Primera Division,"CDM, CM",74
298,S. Kjær,Spain Primera Division,CB,82
593,S. Lobotka,Spain Primera Division,"CM, CDM",79
5690,S. Plaza,Spain Primera Division,"ST, LW",69
